Params,Original Edges,Found Edges,Degree Mean,ESP Mean,Geodesic Mean,Found Sigma
0.1,43111.95 ± 100.669,42817.5 ± 188.248,0.047 ± 0.011,0.02 ± 0.007,0.007 ± 0.003,0.109
0.4,27249.4 ± 616.919,29589.0 ± 655.306,0.027 ± 0.005,0.009 ± 0.002,0.052 ± 0.012,0.36
0.7,15294.1 ± 826.686,20588.85 ± 1002.237,0.027 ± 0.004,0.013 ± 0.001,0.106 ± 0.013,0.543
1.0,8809.4 ± 556.351,15291.95 ± 786.086,0.028 ± 0.004,0.021 ± 0.002,0.12 ± 0.016,0.698
1.3,5781.2 ± 335.055,11951.15 ± 719.837,0.031 ± 0.004,0.033 ± 0.004,0.205 ± 0.011,0.816
1.6,3954.0 ± 203.295,10264.05 ± 393.178,0.035 ± 0.005,0.048 ± 0.006,0.198 ± 0.012,0.924
1.9,2907.6 ± 208.284,8745.65 ± 530.822,0.046 ± 0.007,0.066 ± 0.007,0.153 ± 0.011,1.016
2.2,2179.8 ± 129.545,7537.05 ± 305.71,0.058 ± 0.01,0.089 ± 0.011,0.208 ± 0.03,1.104
2.5,1736.15 ± 112.232,6817.55 ± 530.583,0.062 ± 0.008,0.111 ± 0.011,0.307 ± 0.042,1.176
2.8,1394.55 ± 128.861,6122.5 ± 322.384,0.07 ± 0.009,0.131 ± 0.02,0.436 ± 0.032,1.248
3.1,1130.95 ± 96.396,5680.6 ± 432.159,0.089 ± 0.01,0.157 ± 0.019,0.535 ± 0.044,1.317
3.4,948.2 ± 79.205,5216.25 ± 214.66,0.098 ± 0.009,0.176 ± 0.018,0.639 ± 0.048,1.376
