Params,Original Edges,Found Edges,Degree Mean,ESP Mean,Geodesic Mean,Found Sigma
0.1,30845.85 ± 591.019,32250.65 ± 453.502,0.026 ± 0.005,0.006 ± 0.001,0.031 ± 0.01,0.311
0.4,16277.45 ± 686.882,21486.95 ± 852.434,0.026 ± 0.004,0.012 ± 0.001,0.098 ± 0.016,0.525
0.7,10878.85 ± 691.571,16706.35 ± 470.24,0.027 ± 0.004,0.015 ± 0.002,0.077 ± 0.013,0.64
1,8361.75 ± 533.785,14837.65 ± 740.503,0.028 ± 0.005,0.02 ± 0.003,0.139 ± 0.016,0.713
1.3,6893.9 ± 292.288,13506.35 ± 742.156,0.029 ± 0.003,0.025 ± 0.002,0.171 ± 0.013,0.766
1.6,5569.3 ± 291.349,12047.35 ± 615.971,0.031 ± 0.004,0.032 ± 0.004,0.201 ± 0.013,0.826
1.9,4912.45 ± 323.229,11278.45 ± 636.171,0.033 ± 0.005,0.036 ± 0.006,0.199 ± 0.019,0.862
2.2,4262.85 ± 193.613,10480.35 ± 512.074,0.034 ± 0.005,0.042 ± 0.005,0.191 ± 0.016,0.903
2.5,3748.9 ± 202.982,9790.3 ± 525.146,0.036 ± 0.004,0.049 ± 0.005,0.17 ± 0.022,0.94
2.8,3523.65 ± 306.072,9553.65 ± 535.247,0.038 ± 0.004,0.052 ± 0.007,0.163 ± 0.022,0.959
3.1,3153.2 ± 214.771,9181.1 ± 563.009,0.04 ± 0.005,0.057 ± 0.006,0.157 ± 0.013,0.992
3.4,2913.3 ± 171.292,8592.25 ± 412.613,0.044 ± 0.006,0.061 ± 0.008,0.157 ± 0.022,1.015
