Params,Original Edges,Found Edges,Degree Mean,ESP Mean,Geodesic Mean,Found Sigma
0.1,43130.0 ± 93.362,43104.9 ± 143.804,0.041 ± 0.011,0.009 ± 0.005,0.002 ± 0.002,0.101
0.4,27189.55 ± 640.845,29636.35 ± 689.508,0.027 ± 0.005,0.009 ± 0.002,0.055 ± 0.01,0.353
0.7,15117.25 ± 614.115,20194.2 ± 840.469,0.026 ± 0.003,0.013 ± 0.001,0.102 ± 0.015,0.54
1.0,8803.85 ± 340.126,15132.5 ± 625.328,0.029 ± 0.003,0.021 ± 0.003,0.116 ± 0.012,0.692
1.3,5670.45 ± 267.62,12100.25 ± 619.076,0.032 ± 0.005,0.035 ± 0.004,0.213 ± 0.014,0.827
1.6,3932.05 ± 190.09,10055.65 ± 577.409,0.038 ± 0.007,0.049 ± 0.007,0.193 ± 0.021,0.931
1.9,2875.45 ± 141.448,8445.35 ± 445.096,0.047 ± 0.006,0.067 ± 0.01,0.15 ± 0.006,1.031
2.2,2193.35 ± 198.79,7635.75 ± 556.899,0.054 ± 0.007,0.087 ± 0.012,0.212 ± 0.032,1.114
2.5,1748.05 ± 100.652,6648.15 ± 282.449,0.059 ± 0.007,0.106 ± 0.01,0.319 ± 0.035,1.207
2.8,1373.05 ± 72.902,5926.8 ± 324.109,0.074 ± 0.01,0.135 ± 0.018,0.423 ± 0.038,1.279
3.1,1119.85 ± 73.69,5308.15 ± 302.885,0.084 ± 0.008,0.157 ± 0.015,0.53 ± 0.033,1.354
3.4,956.9 ± 85.487,5005.3 ± 451.206,0.096 ± 0.01,0.174 ± 0.02,0.628 ± 0.05,1.415
