Params,Original Edges,Found Edges,Degree Mean,ESP Mean,Geodesic Mean,Found Sigma
0.1,42868.2 ± 141.466,42863.3 ± 169.032,0.037 ± 0.008,0.008 ± 0.003,0.002 ± 0.001,0.108
0.4,26385.8 ± 684.281,29270.35 ± 763.663,0.026 ± 0.004,0.008 ± 0.002,0.064 ± 0.013,0.369
0.7,14230.05 ± 543.076,19551.8 ± 846.048,0.025 ± 0.003,0.012 ± 0.001,0.087 ± 0.017,0.563
1.0,8355.55 ± 433.024,14961.15 ± 887.904,0.028 ± 0.005,0.02 ± 0.003,0.138 ± 0.009,0.713
1.3,5626.3 ± 411.295,11856.55 ± 715.083,0.031 ± 0.004,0.03 ± 0.003,0.192 ± 0.008,0.825
1.6,3725.75 ± 176.928,9678.85 ± 498.114,0.038 ± 0.005,0.05 ± 0.006,0.168 ± 0.022,0.947
1.9,2692.35 ± 168.648,8204.8 ± 461.309,0.042 ± 0.006,0.068 ± 0.005,0.173 ± 0.025,1.048
2.2,2064.1 ± 151.888,7461.6 ± 467.695,0.056 ± 0.008,0.085 ± 0.01,0.257 ± 0.041,1.135
2.5,1623.1 ± 114.044,6509.0 ± 331.912,0.063 ± 0.007,0.107 ± 0.012,0.36 ± 0.032,1.218
2.8,1315.05 ± 119.361,5812.85 ± 368.36,0.081 ± 0.013,0.129 ± 0.019,0.479 ± 0.044,1.294
3.1,1038.65 ± 72.99,5128.05 ± 299.654,0.088 ± 0.009,0.152 ± 0.017,0.593 ± 0.033,1.382
3.4,859.8 ± 70.204,4784.05 ± 368.835,0.102 ± 0.01,0.196 ± 0.02,0.662 ± 0.035,1.457
